DocID,TF-IDF,Okapi TF,BM25,Laplace,Jelinek-Mercer,Label
104-68,0,0,0,-111.38385427504109,-111.38385427504109,0
204-25,0,0,0,-111.38385427504109,-111.38385427504109,0
298-71,0,0,0,-263.27092828646073,-263.27092828646073,0
251-43,0,0,0,-151.88707401141966,-151.88707401141966,0
269-97,0,0,0,-121.50965920913573,-121.50965920913573,0
086-20,0,0,0,-222.76770855008218,-222.76770855008218,0
206-16,0,0,0,-394.90639242969075,-394.90639242969075,0
033-53,0,0,0,-131.63546414323037,-131.63546414323037,0
167-40,0,0,0,-445.53541710016384,-445.53541710016384,0
035-76,0,0,0,-222.76770855008218,-222.76770855008218,0
187-25,0,0,0,-212.64190361598753,-212.64190361598753,0
068-5,0,0,0,-91.1322444068518,-91.1322444068518,0
189-65,0,0,0,-131.63546414323037,-131.63546414323037,0
224-10,0,0,0,-162.0128789455143,-162.0128789455143,0
173-15,0,0,0,-243.01931841827147,-243.01931841827147,0
224-57,0,0,0,-162.0128789455143,-162.0128789455143,0
080-19,0,0,0,-131.63546414323037,-131.63546414323037,0
183-38,0,0,0,-81.00643947275715,-81.00643947275715,0
094-31,0,0,0,-222.76770855008218,-222.76770855008218,0
132-73,0,0,0,-192.39029374779824,-192.39029374779824,0
147-70,0,0,0,-222.76770855008218,-222.76770855008218,0
261-20,0,0,0,-101.25804934094644,-101.25804934094644,0
176-90,0,0,0,-162.0128789455143,-162.0128789455143,0
274-95,0,0,0,-70.8806345386625,-70.8806345386625,0
112-64,0,0,0,-60.75482960456786,-60.75482960456786,0
314-49,0,0,0,-172.13868387960895,-172.13868387960895,0
146-64,0,0,0,-172.13868387960895,-172.13868387960895,0
254-22,0,0,0,-263.27092828646073,-263.27092828646073,0
151803-13699,0.0,0.0,0.0,0,0,0
015-99,0,0,0,-81.00643947275715,-81.00643947275715,0
157-36,0,0,0,-263.27092828646073,-263.27092828646073,0
154-10,0,0,0,-222.76770855008218,-222.76770855008218,0
175-23,0,0,0,-243.01931841827147,-243.01931841827147,0
234-33,0,0,0,-212.64190361598753,-212.64190361598753,0
293-59,0,0,0,-293.6483430887446,-293.6483430887446,0
190-9,0,0,0,-172.13868387960895,-172.13868387960895,0
148-55,0,0,0,-283.52253815464996,-283.52253815464996,0
173-13,0,0,0,-243.01931841827147,-243.01931841827147,0
100-96,0,0,0,-121.50965920913573,-121.50965920913573,0
254-61,0,0,0,-263.27092828646073,-263.27092828646073,0
205-65,0,0,0,-141.761269077325,-141.761269077325,0
151801-278,0.0,0.0,0.0,0,0,0
348-36,0,0,0,-141.761269077325,-141.761269077325,0
136-13,0,0,0,-232.89351348417682,-232.89351348417682,0
181-1,0,0,0,-172.13868387960895,-172.13868387960895,0
132-16,0,0,0,-192.39029374779824,-192.39029374779824,0
068-34,0,0,0,-91.1322444068518,-91.1322444068518,0
018-14,0,0,0,-162.0128789455143,-162.0128789455143,0
206-47,0,0,0,-394.90639242969075,-394.90639242969075,0
200-70,0,0,0,-192.39029374779824,-192.39029374779824,0
004-78,0,0,0,-131.63546414323037,-131.63546414323037,0
157-95,0,0,0,-263.27092828646073,-263.27092828646073,0
252-91,0,0,0,-172.13868387960895,-172.13868387960895,0
296-63,0,0,0,-70.8806345386625,-70.8806345386625,0
365-31,0,0,0,-162.0128789455143,-162.0128789455143,0
155-50,0,0,0,-172.13868387960895,-172.13868387960895,0
182-98,0,0,0,-384.78058749559614,-384.78058749559614,0
217-9,0,0,0,-151.88707401141966,-151.88707401141966,0
177-93,0,0,0,-192.39029374779824,-192.39029374779824,0
277-98,0,0,0,-141.761269077325,-141.761269077325,0
040-21,0,0,0,-243.01931841827147,-243.01931841827147,0
210-5,0,0,0,-101.25804934094644,-101.25804934094644,0
104-41,0,0,0,-111.38385427504109,-111.38385427504109,0
072-85,0,0,0,-253.1451233523661,-253.1451233523661,0
356-77,0,0,0,-101.25804934094644,-101.25804934094644,0
106-51,0,0,0,-162.0128789455143,-162.0128789455143,0
171-2,0,0,0,-182.2644888137036,-182.2644888137036,0
131-78,0,0,0,-202.51609868189288,-202.51609868189288,0
058-90,0,0,0,-232.89351348417682,-232.89351348417682,0
109-3,0,0,0,-172.13868387960895,-172.13868387960895,0
300-59,0,0,0,-111.38385427504109,-111.38385427504109,0
123-93,0,0,0,-182.2644888137036,-182.2644888137036,0
108-67,0,0,0,-172.13868387960895,-172.13868387960895,0
113-35,0,0,0,-182.2644888137036,-182.2644888137036,0
301-58,0,0,0,-212.64190361598753,-212.64190361598753,0
098-60,0,0,0,-151.88707401141966,-151.88707401141966,0
175-84,0,0,0,-243.01931841827147,-243.01931841827147,0
086-43,0,0,0,-222.76770855008218,-222.76770855008218,0
206-97,0,0,0,-394.90639242969075,-394.90639242969075,0
139-1,0,0,0,-81.00643947275715,-81.00643947275715,0
245-72,0,0,0,-303.7741480228392,-303.7741480228392,0
314-33,0,0,0,-172.13868387960895,-172.13868387960895,0
004-68,0,0,0,-131.63546414323037,-131.63546414323037,0
055-21,0,0,0,-81.00643947275715,-81.00643947275715,0
205-85,0,0,0,-141.761269077325,-141.761269077325,0
097-24,0,0,0,-182.2644888137036,-182.2644888137036,0
246-99,0,0,0,-232.89351348417682,-232.89351348417682,0
018-40,0,0,0,-162.0128789455143,-162.0128789455143,0
109-82,0,0,0,-172.13868387960895,-172.13868387960895,0
049-54,0,0,0,-141.761269077325,-141.761269077325,0
314-19,0,0,0,-172.13868387960895,-172.13868387960895,0
058-61,0,0,0,-232.89351348417682,-232.89351348417682,0
201-47,0,0,0,-50.629024670473214,-50.629024670473214,0
151803-2882,0.0,0.0,0.0,0,0,0
215-19,0,0,0,-182.2644888137036,-182.2644888137036,0
083-76,0,0,0,-81.00643947275715,-81.00643947275715,0
055-30,0,0,0,-81.00643947275715,-81.00643947275715,0
299-95,0,0,0,-192.39029374779824,-192.39029374779824,0
293-91,0,0,0,-293.6483430887446,-293.6483430887446,0
111-21,0,0,0,-81.00643947275715,-81.00643947275715,0
303-85,0,0,0,-141.761269077325,-141.761269077325,0
001-57,0,0,0,-151.88707401141966,-151.88707401141966,0
074-61,0,0,0,-172.13868387960895,-172.13868387960895,0
340-2,0,0,0,-192.39029374779824,-192.39029374779824,0
151802-5586,0.0,0.0,0.0,0,0,0
252-40,0,0,0,-172.13868387960895,-172.13868387960895,0
151801-2162,0.0,0.0,0.0,0,0,0
097-0,0,0,0,-182.2644888137036,-182.2644888137036,0
101-64,0,0,0,-232.89351348417682,-232.89351348417682,0
335-73,0,0,0,-151.88707401141966,-151.88707401141966,0
029-65,0,0,0,-50.629024670473214,-50.629024670473214,0
013-99,0,0,0,-182.2644888137036,-182.2644888137036,0
224-28,0,0,0,-162.0128789455143,-162.0128789455143,0
122-36,0,0,0,-172.13868387960895,-172.13868387960895,0
182-53,0,0,0,-384.78058749559614,-384.78058749559614,0
104-31,0,0,0,-111.38385427504109,-111.38385427504109,0
008-25,0,0,0,-283.52253815464996,-283.52253815464996,0
139-15,0,0,0,-81.00643947275715,-81.00643947275715,0
267-36,0,0,0,-131.63546414323037,-131.63546414323037,0
109-26,0,0,0,-172.13868387960895,-172.13868387960895,0
112-51,0,0,0,-60.75482960456786,-60.75482960456786,0
338-48,0,0,0,-172.13868387960895,-172.13868387960895,0
214-82,0,0,0,-334.15156282512305,-334.15156282512305,0
139-98,0,0,0,-81.00643947275715,-81.00643947275715,0
297-25,0,0,0,-273.39673322055535,-273.39673322055535,0
066-93,0,0,0,-91.1322444068518,-91.1322444068518,0
225-47,0,0,0,-182.2644888137036,-182.2644888137036,0
336-94,0,0,0,-182.2644888137036,-182.2644888137036,0
338-93,0,0,0,-172.13868387960895,-172.13868387960895,0
265-71,0,0,0,-111.38385427504109,-111.38385427504109,0
275-38,0,0,0,-222.76770855008218,-222.76770855008218,0
068-16,0,0,0,-91.1322444068518,-91.1322444068518,0
314-28,0,0,0,-172.13868387960895,-172.13868387960895,0
039-67,0,0,0,-162.0128789455143,-162.0128789455143,0
082-30,0,0,0,-141.761269077325,-141.761269077325,0
123-95,0,0,0,-182.2644888137036,-182.2644888137036,0
094-98,0,0,0,-222.76770855008218,-222.76770855008218,0
213-66,0,0,0,-131.63546414323037,-131.63546414323037,0
288-61,0,0,0,-202.51609868189288,-202.51609868189288,0
227-93,0,0,0,-131.63546414323037,-131.63546414323037,0
306-29,0,0,0,-182.2644888137036,-182.2644888137036,0
121-55,0,0,0,-151.88707401141966,-151.88707401141966,0
169-47,0,0,0,-202.51609868189288,-202.51609868189288,0
013-12,0,0,0,-182.2644888137036,-182.2644888137036,0
206-34,0,0,0,-394.90639242969075,-394.90639242969075,0
138-2,0,0,0,-81.00643947275715,-81.00643947275715,0
158-3,0,0,0,-121.50965920913573,-121.50965920913573,0
170-25,0,0,0,-243.01931841827147,-243.01931841827147,0
010-42,0,0,0,-141.761269077325,-141.761269077325,0
105-98,0,0,0,-283.52253815464996,-283.52253815464996,0
327-94,0,0,0,-334.15156282512305,-334.15156282512305,0
314-29,0,0,0,-172.13868387960895,-172.13868387960895,0
202-79,0,0,0,-50.629024670473214,-50.629024670473214,0
214-27,0,0,0,-334.15156282512305,-334.15156282512305,0
284-83,0,0,0,-50.629024670473214,-50.629024670473214,0
187-37,0,0,0,-212.64190361598753,-212.64190361598753,0
098-30,0,0,0,-151.88707401141966,-151.88707401141966,0
283-18,0,0,0,-70.8806345386625,-70.8806345386625,0
050-81,0,0,0,-192.39029374779824,-192.39029374779824,0
277-10,0,0,0,-141.761269077325,-141.761269077325,0
111-53,0,0,0,-81.00643947275715,-81.00643947275715,0
105-54,0,0,0,-283.52253815464996,-283.52253815464996,0
140-64,0,0,0,-354.4031726933123,-354.4031726933123,0
113-40,0,0,0,-182.2644888137036,-182.2644888137036,0
151803-6335,0.0,0.0,0.0,0,0,0
267-37,0,0,0,-131.63546414323037,-131.63546414323037,0
